timestamp,vehicle_id,p_fail_next_7d,est_RUL_days
2024-01-15,VEH0049,0.7266666666666667,20.54
2024-01-16,VEH0049,0.7633333333333333,14.58
2024-01-17,VEH0049,0.7766666666666666,2.4966666666666666
2024-01-18,VEH0049,0.77,14.91
2024-01-19,VEH0049,0.7933333333333333,12.066666666666666
2024-01-20,VEH0049,0.7666666666666667,14.22
2024-01-21,VEH0049,0.84,14.226666666666667
2024-01-22,VEH0049,0.8066666666666666,13.22
2024-01-23,VEH0049,0.7533333333333333,18.06
2024-01-24,VEH0049,0.6933333333333334,17.913333333333334
2024-01-25,VEH0049,0.79,0.44333333333333336
2024-01-26,VEH0049,0.09333333333333334,57.71
2024-01-27,VEH0049,0.09,58.483333333333334
2024-01-28,VEH0049,0.07333333333333333,58.65
2024-01-29,VEH0049,0.05333333333333334,57.88333333333333
2024-01-30,VEH0049,0.08666666666666667,58.17
2024-01-31,VEH0049,0.06666666666666667,59.25666666666667
2024-02-01,VEH0049,0.043333333333333335,59.45
2024-02-02,VEH0049,0.04666666666666667,59.446666666666665
2024-02-03,VEH0049,0.043333333333333335,58.86
2024-02-04,VEH0049,0.03666666666666667,56.263333333333335
2024-02-05,VEH0049,0.07333333333333333,56.68666666666667
2024-02-06,VEH0049,0.15666666666666668,50.63
2024-02-07,VEH0049,0.2,49.946666666666665
2024-02-08,VEH0049,0.30333333333333334,52.02
2024-02-09,VEH0049,0.3333333333333333,51.376666666666665
2024-02-10,VEH0049,0.2833333333333333,46.46666666666667
2024-02-11,VEH0049,0.19333333333333333,53.24666666666667
2024-02-12,VEH0049,0.13333333333333333,55.52
2024-02-13,VEH0049,0.19,37.986666666666665
