selected_feature
odometer_reading
engine_temp_c
engine_rpm
oil_pressure_psi
coolant_temp_c
fuel_level_percent
fuel_consumption_lph
engine_load_percent
throttle_pos_percent
air_flow_rate_gps
exhaust_gas_temp_c
vibration_level
engine_hours
brake_fluid_level_psi
brake_pad_wear_mm
brake_temp_c
abs_fault_indicator
brake_pedal_pos_percent
wheel_speed_fl_kph
wheel_speed_fr_kph
wheel_speed_rl_kph
wheel_speed_rr_kph
""
battery_current_a
battery_temp_c
